ano,sigla_uf,id_municipio,quantidade_vinculos_ativos,cnae_2,cnae_2_subclasse
2023,RS,4314902,24,73190,7319002
2023,RS,4314902,42,73190,7319004
2023,RS,4314902,49,73190,7319002
2023,RS,4314902,13,73190,7319002
2023,RS,4314902,59,82113,8211300
2023,RS,4314902,16,82113,8211300
2023,RS,4314902,20,82199,8219999
2023,RS,4314902,269,82997,8299799
2023,RS,4314902,18,74901,7490105
2023,RS,4314902,188,82199,8219999
2023,RS,4314902,19,82113,8211300
2023,RS,4314902,728,82202,8220200
2023,RS,4314902,28,82113,8211300
2023,RS,4314902,21,82113,8211300
2023,RS,4314902,15,82113,8211300
2023,RS,4314902,15,82997,8299799
2023,RS,4314902,21,82113,8211300
2023,RS,4314902,27,82202,8220200
2023,RS,4314902,14,74901,7490104
2023,RS,4314902,18,82202,8220200
2023,RS,4314902,27,82997,8299799
2023,RS,4314902,65,82113,8211300
2023,RS,4314902,42,82113,8211300
2023,RS,4314902,21,82113,8211300
2023,RS,4314902,909,82113,8211300
2023,RS,4314902,382,82113,8211300
2023,RS,4314902,12,85996,8599604
2023,RS,4314902,29,85996,8599699
2023,RS,4314902,33,85996,8599699
2023,RS,4314902,24,85996,8599601
2023,RS,4314902,17,85996,8599601
2023,RS,4314902,37,85996,8599699
2023,RS,4314902,15,85996,8599699
2023,RS,4314902,15,86305,8630503
2023,RS,4314902,23,87115,8711503
2023,RS,4314902,17,86305,8630504
2023,RS,4314902,17,86305,8630501
2023,RS,4314902,146,86305,8630502
2023,RS,4314902,28,86305,8630502
2023,RS,4314902,56,87123,8712300
2023,RS,4314902,14,86305,8630502
2023,RS,4314902,17,86305,8630502
2023,RS,4314902,72,86305,8630501
2023,RS,4314902,15,87115,8711501
2023,RS,4314902,274,86607,8660700
2023,RS,4314902,307,86500,8650099
2023,RS,4314902,75,86500,8650003
2023,RS,4314902,50,94910,9491000
2023,RS,4314902,85,94910,9491000
2023,RS,4314902,13,94910,9491000
2023,RS,4314902,38,94308,9430800
2023,RS,4314902,43,94308,9430800
2023,RS,4314902,13,94308,9430800
2023,RS,4314902,21,94995,9499500
2023,RS,4314902,17,94995,9499500
2023,RS,4314902,540,94308,9430800
2023,RS,4314902,21,94308,9430800
2023,RS,4314902,14,94308,9430800
2023,RS,4314902,28,94308,9430800
2023,RS,4314902,223,94308,9430800
2023,RS,4314902,72,94308,9430800
2023,RS,4314902,20,94308,9430800
2023,RS,4314902,24,94308,9430800
2023,RS,4314902,19,94308,9430800
2023,RS,4314902,21,94995,9499500
2023,RS,4314902,26,93115,9311500
2023,RS,4314902,32,93115,9311500
2023,RS,4314902,60,93123,9312300
2023,RS,4314902,12,93131,9313100
2023,RS,4314902,137,93123,9312300
2023,RS,4314902,647,93123,9312300
2023,RS,4314902,44,93123,9312300
2023,RS,4314902,16,93123,9312300
2023,RS,4314902,12,85911,8591100
2023,RS,4314902,0,46150,4615000
