ano,id_municipio,quantidade_vinculos_ativos,cnae_2,cep
2023,4314902,12,14126,91120440
2023,4314902,27,41204,90620001
2023,4314902,20,41204,90240500
2023,4314902,81,41204,91710010
2023,4314902,179,41204,90850250
2023,4314902,63,41204,90550090
2023,4314902,19,41204,90200060
2023,4314902,62,41204,90240602
2023,4314902,15,41204,90540050
2023,4314902,23,41204,91530190
2023,4314902,18,41204,90450120
2023,4314902,20,41204,91712450
2023,4314902,20,41204,90200230
2023,4314902,12,41204,91150400
2023,4314902,52,41204,90650060
2023,4314902,28,43215,91755220
2023,4314902,20,43215,91430000
2023,4314902,28,43215,90240480
2023,4314902,14,43215,90620070
2023,4314902,321,43291,90230010
2023,4314902,34,43991,91750020
2023,4314902,32,43304,90460001
2023,4314902,12,43304,91340230
2023,4314902,25,43991,90240570
2023,4314902,27,43991,90840050
2023,4314902,18,43304,91770700
2023,4314902,16,43991,91225330
2023,4314902,22,43991,91050010
2023,4314902,12,43304,91712330
2023,4314902,37,45111,91740001
2023,4314902,14,45111,91900000
2023,4314902,46,45111,90610000
2023,4314902,36,45111,90240620
2023,4314902,98,45111,90690000
2023,4314902,40,45111,90160091
2023,4314902,16,45200,90240300
2023,4314902,12,45200,91110010
2023,4314902,12,45200,91050370
2023,4314902,44,45307,90200310
2023,4314902,16,45307,90240620
2023,4314902,33,45307,90230070
2023,4314902,21,45307,91030541
2023,4314902,12,45307,90230090
2023,4314902,56,45307,90230031
2023,4314902,28,45307,90240640
2023,4314902,12,45307,90230031
2023,4314902,166,45307,91140000
2023,4314902,13,47318,91910180
2023,4314902,14,47318,91340000
2023,4314902,22,47318,90200310
2023,4314902,13,47318,91260000
2023,4314902,16,47318,91360001
2023,4314902,15,47318,91260000
2023,4314902,17,46192,90220000
2023,4314902,27,47121,90020070
2023,4314902,12,47121,91430100
2023,4314902,28,47121,90430010
2023,4314902,16,47121,90250110
2023,4314902,13,47121,91770020
2023,4314902,13,47121,91250320
2023,4314902,52,47121,90240130
2023,4314902,15,47121,90035071
2023,4314902,14,47121,90840440
2023,4314902,21,47296,90020003
2023,4314902,14,47296,91770001
2023,4314902,25,47296,91750040
2023,4314902,21,47814,90010140
2023,4314902,12,47814,90810080
2023,4314902,21,47814,91110010
2023,4314902,15,47814,91349900
2023,4314902,149,47814,91349900
2023,4314902,60,47814,90810080
2023,4314902,25,47814,91010006
2023,4314902,17,47814,90880001
2023,4314902,15,47717,91790788
2023,4314902,24,47717,90560005
2023,4314902,20,47717,90560001
2023,4314902,17,47717,90430010
2023,4314902,15,47717,91010002
2023,4314902,12,47717,90880480
2023,4314902,16,47717,90020008
2023,4314902,18,47717,90035001
2023,4314902,19,47717,90610000
2023,4314902,12,47717,91550000
2023,4314902,14,47717,90560002
2023,4314902,13,47717,90650003
2023,4314902,20,47717,90620110
2023,4314902,12,47717,90450001
2023,4314902,16,47717,90035191
2023,4314902,13,47717,90680570
2023,4314902,68,47717,91310000
2023,4314902,16,47717,90680570
2023,4314902,13,47717,90150000
2023,4314902,14,47717,90150004
2023,4314902,12,47725,90020011
2023,4314902,51,47717,90560005
2023,4314902,15,47717,91180000
2023,4314902,31,47717,91770000
2023,4314902,19,47717,90040001
2023,4314902,21,47717,91780060
2023,4314902,27,47717,90410002
2023,4314902,14,47733,90020061
2023,4314902,22,47440,91130040
2023,4314902,371,47440,90230901
2023,4314902,15,47440,91510710
2023,4314902,12,47415,91320000
2023,4314902,55,47440,90690140
2023,4314902,14,47440,91780070
2023,4314902,17,47440,91130000
2023,4314902,15,47440,90110180
2023,4314902,12,47440,91787170
2023,4314902,13,47440,91787310
2023,4314902,18,47440,91550000
2023,4314902,15,47440,91110440
2023,4314902,12,47440,90220170
2023,4314902,18,47423,90240005
2023,4314902,29,47440,91420030
2023,4314902,18,47440,90660080
2023,4314902,20,47512,90470430
2023,4314902,13,47512,90510001
2023,4314902,27,47890,91310000
2023,4314902,15,47512,90520310
2023,4314902,27,47521,90020022
2023,4314902,16,47512,91360001
2023,4314902,45,47512,90110910
2023,4314902,18,47890,90550070
2023,4314902,23,47890,91150010
2023,4314902,14,47890,90410004
2023,4314902,15,47890,91020000
2023,4314902,12,47890,90520002
2023,4314902,15,47890,90230160
2023,4314902,14,47571,90040270
2023,4314902,27,47890,91050370
2023,4314902,26,47636,90810080
2023,4314902,26,47890,90690000
2023,4314902,27,47890,90880001
2023,4314902,13,47890,91250310
2023,4314902,23,47636,90110001
2023,4314902,89,47890,90410006
2023,4314902,18,56112,90440150
2023,4314902,15,56112,90570050
2023,4314902,13,56112,91050001
2023,4314902,215,56112,91349900
2023,4314902,17,56112,90620110
2023,4314902,33,56112,90035004
2023,4314902,16,56112,90030110
2023,4314902,43,56112,91340000
2023,4314902,2251,56112,90250590
2023,4314902,14,56112,90410001
2023,4314902,14,56112,91010006
2023,4314902,13,56112,90540120
2023,4314902,104,56112,91349900
2023,4314902,12,56112,91560000
2023,4314902,23,56112,90110000
2023,4314902,18,56112,90560010
2023,4314902,13,56112,90560003
2023,4314902,12,56112,90010320
2023,4314902,19,56112,90010110
2023,4314902,15,56112,90670004
2023,4314902,100,56112,90150000
2023,4314902,33,56112,90200000
2023,4314902,13,56112,91140001
2023,4314902,20,56112,91340001
2023,4314902,31,56112,90035002
2023,4314902,25,56112,90200310
2023,4314902,16,56112,90520560
2023,4314902,31,56112,90010110
2023,4314902,14,56112,90540000
2023,4314902,14,56112,90200000
2023,4314902,15,56112,91560000
2023,4314902,15,56112,91340001
2023,4314902,32,56112,90430061
2023,4314902,18,56112,90560003
2023,4314902,27,56112,90040193
2023,4314902,25,56112,90410004
2023,4314902,14,56112,90510001
2023,4314902,13,56112,91310002
2023,4314902,14,56112,90810080
2023,4314902,15,56112,90470150
2023,4314902,29,56112,90460040
2023,4314902,15,56112,91349900
2023,4314902,12,56112,91110480
2023,4314902,12,56112,91530010
2023,4314902,31,56112,90020023
2023,4314902,39,56112,90001970
2023,4314902,32,56112,91740001
2023,4314902,19,56112,90110001
2023,4314902,19,56112,90570060
2023,4314902,13,56112,90200910
2023,4314902,45,56112,91340100
2023,4314902,72,56112,90110001
2023,4314902,17,56112,90640001
2023,4314902,24,56112,91349900
2023,4314902,32,56112,91350130
2023,4314902,50,56112,90550143
2023,4314902,21,56112,90020070
